"orderid","orderdate","receiveddate","quantity","cost","shippingcost","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","supplier.supplierid","supplier.name","supplier.contactname","supplier.phone","supplier.address","supplier.city","supplier.state","supplier.zipcode"
1,"2004-01-04","",1,2.75,39.68,13,"","Fish","Tetra","2004-03-01","Male","","Red",12,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
2,"2004-01-04","",1,56.15,39.68,187,"Martha","Dog","Poodle","2004-05-15","Female","","White",133.65,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
3,"2004-01-04","",1,88.53,40.57,52,"Buck","Dog","St Bernard","2004-01-01","Male","AKC","Brown/White",231.44,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
4,"2004-01-04","",1,122.14,40.57,49,"Martha","Cat","Korat","2004-03-16","Female","","Gray/Blue",218.95,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
5,"2004-01-04","",1,128.39,40.57,77,"Damon","Cat","Bombay","2004-01-17","Male","CFA","Black",178.16,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
6,"2004-01-04","",1,138.2,39.68,160,"Rufus","Dog","Cocker Spaniel","2004-01-02","Male","AKC","Yellow",176.79,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
7,"2004-01-04","",1,147.99,40.57,81,"","Bird","Canary","2004-07-29","Female","","Yellow",229.44,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
8,"2004-01-04","",1,149.28,40.57,55,"Alice","Dog","Cairn Terrier","2004-01-03","Female","AKC","Gray/Blue",204.72,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
9,"2004-01-04","",1,156.34,40.57,66,"Seth","Cat","Russian Blue","2004-01-09","Male","CFA","Gray/Blue",275.1,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
10,"2004-01-04","",1,163.1,40.57,138,"Owen","Cat","Japanese Bobtail","2004-05-21","Male","CFA","White",232.46,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
11,"2004-01-04","",1,200.48,39.68,101,"Bessie","Dog","Australian Shepherd","2004-01-03","Female","AKC","White/Brown",216.1,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
12,"2004-01-10","",1,28.84,53.22,179,"Cassy","Dog","Keeshond","2004-01-05","Female","AKC","Red",139.61,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
13,"2004-01-10","",1,57.39,53.22,185,"Ricardo","Dog","Airedale","2004-06-21","Male","AKC","Gray",164.14,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
14,"2004-01-10","",1,125.24,53.22,177,"Jennifer","Dog","Siberian Huskie","2004-04-23","Female","AKC","White",205.75,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
15,"2004-01-11","",1,35.81,43.27,146,"Kevin","Cat","Siamese","2004-03-24","Male","CFA","White",93.07,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
16,"2004-01-11","",1,69.56,43.27,104,"Julie","Cat","Longhair","2004-02-18","Female","CFA","Yellow",180.38,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
17,"2004-01-11","",1,110.2,43.27,58,"Curtis","Bird","Parakeet","2004-04-28","Male","","Gold/Red",146.87,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
18,"2004-01-11","",1,123.84,43.27,16,"Lisa","Dog","Great Pyrenees","2004-01-05","Female","AKC","Brown",274.35,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
19,"2004-01-11","",1,139.09,43.27,67,"Ara","Cat","Manx","2004-01-29","Male","CFA","White",179.05,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
20,"2004-01-13","2004-02-18",1,32.37,52.36,134,"","Reptile","Gila Monster","2004-02-08","Male","","Brown",182.36,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
21,"2004-01-13","2004-02-18",1,68.75,52.36,41,"Claudia","Dog","Boston Terrier","2004-01-05","Female","AKC","Black",179.92,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
22,"2004-01-13","2004-02-18",1,124.84,52.36,164,"Ruby","Bird","Parakeet","2004-01-19","Female","","Red",253.43,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
23,"2004-01-13","2004-02-18",1,142.25,52.36,94,"Jean","Dog","Siberian Huskie","2004-07-01","Female","AKC","White/Brown",223.38,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
24,"2004-01-15","2004-03-14",1,8.09,46.19,5,"","Fish","Shark","2004-01-01","Female","","Gray",22,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
25,"2004-01-15","2004-03-14",1,36.76,46.19,116,"","Bird","Parrot","2004-06-01","Male","","Blue/Gold",133.01,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
26,"2004-01-15","2004-03-14",1,59.17,46.19,183,"","Spider","Scorpion","2004-02-02","Male","","Black",127,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
27,"2004-01-15","2004-03-14",1,104.9,46.19,39,"Doris","Dog","Rottweiler","2004-03-27","Female","AKC","Red",211.28,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
28,"2004-01-15","2004-03-14",1,120.08,46.19,78,"Hunter","Dog","Great Dane","2004-01-02","Male","AKC","Brown",215.74,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
